央视频道,#genre#
天津卫视,http://110.189.102.15:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
天津卫视,http://222.134.245.16:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
天津卫视,http://58.245.97.28:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
天津卫视,http://58.51.111.46:1111/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
天津卫视,http://223.151.49.74:59901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
天津卫视,http://42.48.17.204:808/hls/45/index.m3u8$42.48.17.204:808
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
天津卫视,http://223.241.247.214:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
天津卫视,http://119.163.199.98:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
天津卫视,http://123.189.36.186:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
